(Years)|(années)
Next month advertising pricing (Cost per thousand)|
Next Tip|
No|Non
No Longer in Business|
No. of Companies Under Your Control|
No. of Controlled Companies|Nombre de sociétés contrôlées par le joueur
No. of Employees|Nombre d'employés
No. of Product Classes|
No. of Product Classes Being Produced|Nombre de classe de produits fabriqués
No. of Product Classes Being Produced by Your Corporation|
No. of Product Types|
No. of Product Types Being Produced|Nombre de type de produits fabriqués
No. of Product Types Being Produced by Your Corporation|
No. of Units|
No. of Years|Durée (ans)
No. of years given to achieve the goals|
No. of Years of Operation|
No. of years passed|
No.of Employees|
No.of Units|
None|Aucun
Normal|Normal
Normal Difficulty. Enjoyable for Most Players.|Difficulté normale. Jouable pour la plupart des joueurs.
November|Novembre
Now AI info will be displayed.|
Now AI info will not be displayed.|
Number of Cities|Nombre de Villes
Number of Competitors|Nombre de concurrents
Number of Game Years|Durée d'année
Number of New Shares|
Number of Seaports Importing Consumer Goods per City|Nombre de ports importants des biens de consomation par ville
Number of Seaports Importing Industrial Goods per City|Nombre de ports importants des matières premières par ville
Number of Shares in Existence|
Occasional|Parfois
Occupancy|
Occupancy graph|
Occupancy Rate|
Occupancy Rate:|
October|Octobre
of|
of your company. \n|
Off|Off
Offer|
Offer now|
Offer Price|
Offer to Sell Firm|
Office Space Demand|
Office Space Supply|
Oil Well|Puit de pétrole
Ok|
OK|
On|On
One|Un
One Product|
Ongoing donation|
Ongoing donation Monthly operating funds:|
Only Dominated|
Opaque|
Operating Expenses|
OPERATING EXPENSES|
Operating Overhead|
OPERATING PROFIT|
Operating Profit|
Operating Profit Margin|Marge d'exploitation
Operating Profit Margin of Your Corporation|
Operating Revenue|
OPERATING REVENUE|
Operating Years|
Operation since|
Options|Options
Organize an intensive Training Program|
Original Technology:|
Ostrich|
Ostriches|
Other Profit|
OTHER PROFIT|
Ours|
out of a total of|
Output|
OUTPUT|
OVERALL|
Overall|
Overall Rating|
Overseas Producer|
Overview|
Owned %|
Owned by|Appartient à
Owned by Government|Propriété du gouvernement
Owned for:|
Owned Qty|
OWNED STOCKS|
Owned Stocks|
Owner|
Owner:|
Ownership|Propriétaire
P/E Ratio|
page %1d/%2d|
Panic|
Paper|Papier
PAPER|
PARFUME|PARFUM
Parfume|
Parties|
Past|
Past 10 Years|
Past 12 months|
Past 30 Days|
Past 30 Months|
Past 30 Years|
Past 36 months|
Paused|
Paying Dividend|
per|
Per Share|
per share. \nWill you accept this offer?|
Period:|
Person Report|
Personal Wealth|
Personality|
PHOTO|Photo
Photography products|Photographie
Pig|Cochon
Pigs|
PLANT|
Plastic|Plastique
PLASTIC|
Play Scenario|
Player Controlled|
Player Register|
Player's Wealth ($million)|Fortune du joueur ($million)
Please enter your name|
Please select a location|
Please select your name from this list|
Plentiful|
Point|
Points|
Police Station|Commissariat de police
Population|Population
Population Growth|
Population:|Population :
Portable Media Player|
PORTABLE MEDIA PLAYER|
Position|
POSITION VACANT|
Pre-made|
Prefer ordering from own warehouses over own factories|
Preference|
President|
president|
Prev|
Previous|
PREVIOUS|
Previous Tip|
Price|Prix
Price    P/E    Owned%  Stock Value|
Price Agreement|Accord de prix
Pricing Policy|
Pricing policy|
Printer|Imprimante
PRINTER|IMPRIMANTE
Private Challenge Games|Jeux challenge privés
Private Corporation|
Private Labelling Unit|
Privatization|
Privatize Your Corporation|
Producer|
Product|
Product Class|
Product Class:|
Product Detail|
Product Details|
Product Name|
Product Quality|
Product Revenue|Revenu produit
Product Stock|
Product Summary|
Product Type|
Production|
Production & Retail|
Production Quality|
Production Technology|
Products|Produits
Products sold in|
Products with R&D Only|
Profit|
Profit Graph|
Profit:|
Programming:|
Progress|
Progress Indicator|
Project Management:|
Prosperous|
PSEMI|
Public Challenge Games|Jeux challenge publics
Public Relations Department|
PUBLIC RELATIONS DEPARTMENT|
Public Shareholders|
Publication Content Quality|
Publication Content Volume|
Publisher|
Purchase|
Purchase Cost|
Purchasing|
Purchasing Goods from Own Firms|
Purchasing Unit|
Put this apartment on sale|
Put this apartment on sale for|
Put this building on sale for:|
Put this commercial building on sale|
Put this mansion on sale|
Put this mansion on sale for:|
Qty Sold Graph|
Quality|
Quality is determined by:|
Quality of Living Index|
Quality Sold|
quality_rating|
Quality:|
Quantity|
Quantity Sold Graph|
Quit|
Quit to Main Menu|
Quit to Windows|
R & D New Product|
R&D|
R&D Center|
R&D Duration|
R&D Expense|
R&D Expenses|
R&D Progress|
R&D Tech.|
Radio Broadcast|
Radio Content Quality|
Radio Content Volume|
Radio Station|
Random Events|Evènements Aléatoire
Random Kingdoms|
Randomize|Aléatoire
Range Band|
Range Brand|
Rank|
Ranking Method|Méhode de classement
Rankings|Classement
Rating (0-100)|
Rating Points|
Rating Points for past 36 months|
RAW|
Raw Material Cost|
Raw Material Name|
Raw Material Production|Secteur primaire
Raw Material Quality|
Raw Material Stock|
Reached A Total Score Of|
Reached An Economic Score Of|
Ready|
Real Estate|Immobilier
Real Estate Focused|
Real Wage Rate|
Real Wage Rate:|
Received Dividends|
Record|Enregistrement
Record No.|
Reduced|Réduit
Refrigerator|
REFRIGERATOR|
rejected your offer.|
Relocate or Duplicate this firm|
Remove|Enlever
Remove All|Enlever tout
Rent Attractiveness|
Repay|
REPAY|
Replace|
Replace the current plan with the highlighted firm's plan, confirm ?|
Reports Background|
requested an annual salary of|
Research & Development|
Research & Development Unit|
Research and Development|
Researching new product|
Reserve|
reserved|
Reserved|
Reset Goals|Par défaut
Restart Game|
Retail|
Retail Focused|
Retail Store|
Retail Store Type|Type de magasin
retail stores.|
Retailer|
Retailing|Vente
Retire|
RETIRE|
Retired|
Retreat|
Return|
Return on Equity|Rendement des capitaux propres
Return on Equity of Your Corporation|
Return on Total Assets|
REVENUE|
Revenue|
Revenue Graph|
Riots!|
Rubber|
RUBBER|
Rubber Plant|
RUBBER PLANT|
Salaries Expense|
Sale of Land|
Sale of Stock|
Sales|
Sales Revenue|
Sales Unit|
Same profile has already been created|
Sandals|
SANDALS|
Save|
Save Game|
Save game|
Save New|
Scenario Editor|
Scenario files not found.|
Score|Score
Score Report|
SCORE REPORT|
Score:|
Scrolling Method|
Scrolling Speed|
Seaport|Port
Search|
Sector|
Seldom|Rarement
Select|
Select A Game|
SELECT ADVERTISING MEDIA|
Select Building Location|
Select Connection Method|
SELECT SUPPLIER|
Sell|
"Sell factory ""internal sale"" products at cost"|
Sell Firm|
Sell Stock|
Sells|
SEMI|
Semi Products|
SEMI PRODUCTS|
September|
Serial|
Set New Dividend|
SETTING UP YOUR MULTI-PLAYER GAME|
Setup Cost|
Setup:|
Share Dilution|
SHAREHOLDER EQUITY|
Shareholders|
shares|
She|
She currently manages this firm|
Sheep|
Shoes|
SHOES|
Shopping Convenience|
Show|
Show Competitor Trade Secrets|Montrer les secrets des concurrents
Show Unit Identities|
Show Unit Paths|
Silica|
Silicon|
SILICON|
SILVER|
Silver Necklace|
SILVER NECKLACE|
Silver Watch|
SILVER WATCH|
Single Player|
Size|
Slightly Loose|
Slightly Tight|
Slighty Tight|
Small|
Smart Phone|
SMART PHONE|
Snacks|Collations
SNACKS|
Soap|
SOAP|
Soccer Field|Terrain de foot
Socks|
SOCKS|
Software|
Some player(s) encountered errors when initializing the game.|
Sorry, you don't have enough cash.|
Sort|
Sort By City Name|
Sort By Product Name|
Sound Effects Volume|
Sowing|
Sowing Month|
Speed|
Spending on Advertising|
Spending on investor relations|
Spending on public relations|
Sport Equipement|Equipement de sport
Sport Equipment|
SPORT EQUIPMENT|
Sport Shoes|
SPORT SHOES|
SPORT_EQ|
SPORT_WE|
Sports Facilities|
Sports Store|
SPORTS WATCH|
Sports Watch|
Stadium|Stade
Start|Commencer
Static|
Steel|
STEEL|
Stock|
Stock Assets|
Stock Exchange|
Stock Exchange News|
Stock Focused|
Stock Market|Bourse
Stock News|
Stock Overview|
Stock Price|Valeur de l'action
Stock Price Graph|
Stock Price of Your Corporation|
Stock Return|
Stock Return to Investors|
Stock Returns|
Stock Value|
Stocks|
Stop Purchase|
Strategy:|
Strawberry|
STRAWBERRY|
Strengthening Corporation Ownership|
Succeeds|
Sugar Cane|
SUGAR CANE|
Suger|
SUGER|
Summary|
Summary Report|
Supermarket|
Supplier|
Supply|
Supply and Demand|
Supply and Demand Bar|
Sweater|
SWEATER|
Switch Brand Strategy|
Tabacco|
TABACCO|
TARGET|
Target Tech.|
Target Technology:|
TCP/IP|
Tech|
Tech. Invented|
Tech. Known to You|
Technology|
Technology Disruption|Perturbation Technologique
Technology Improvement|
Technology News|
Television|
TELEVISION|
Tender Offer|
Tennis Court|Terrain de tennis
Terminate Employment|
Terrain Set|
Textiles|
TEXTILES|
The area does not have any mineral deposit.|
The area does not have any oil deposit.|
The area does not have enough trees.|
The area must be at least 2 x 2 in size.|
The bar indicates the growth progress of the crop.|
The blue bar indicates the supply of the product by the current firm. The red bar indicates the demand of the product from the buyers. Examine these bars and the utilization bar carefully to identify the bottlenecks of your business.|
The blue bar indicates the supply of the product by the supplier. The red bar indicates the demand of the product from the current firm. If the supply bar is shorter than the demand bar, that means there is a lack of supply. Overall firm performance may be affected by the lack of the supply. In this case, you should consider switching to a better supplier.|
The blue bar is the livestock supply bar. The red one is the process capacity bar. If the livestock supply bar is shorter than the process capacity bar, this means that the unit is underused and can process more livestock. You could link additional input units to it to exploit its capacity.|
the brand will benefit from public relations efforts.|
The crop that the unit is currently planting.|
The current screen has been written to file %1s.|
The duration of the R&D plan.|
The firm type of the current plan is different from that of the highlighted firm.|
The highlighted firm doesn't have a layout.|
The host cannot recognize your machine.|
The host has aborted the game|
The host refuses you|
the job as the|
The kind of livestock being raised.|
The land is not available.|
The livestock product being produced.|
The location is occupied by residential|
The plan will replace the existing layout of the current firm. Proceed?|
The product currently being researched.|
The product in the unit.|
The product that the unit is currently manufacturing.|
The product that the unit is currently processing.|
The product that the unit is currently purchasing.|
The product which the unit is currently selling.|
The progress of the current R&D plan.|
The rating points of the media in which the product is being advertised. It tells you how many people are watching the media. Thus, the higher the rating points, the greater the effect of the advertising.|
The raw material which the unit is currently producing.|
The Securities and Exchange Commission does not approve your purchase.\n|
The severance for terminating the employment of \n|
The stock of raw materials in the manufacturing unit is displayed as a row of lines here. The length of each line indicates the quantity of the raw material stocked in the unit. During a manufacturing process, raw materials must first go into a manufacturing unit and then converted into products. The manufacturing process is suspended whenever any of its required raw materials is lacking. Thus, to have the unit operating at maximum efficiency, you must provide a consistent supply of raw materials.|
The Training Program|
There is no Capitalism II CDROM to start the game.|
There is no space for adding new products|
These two rows of boxes represent the quantity of baby and adult livestock in the unit. Baby livestock will mature and become adult livestock. Different types of livestock have different growth rates. In order of growth rate, the livestock are chicken, sheep, pig, and cattle.|
This area shows the stock of the product in the unit. Each box represents one cargo of the product. Each cargo can store a number of units of the product. The number of units a cargo can hold varies from product to product.|
This area shows the stock of the product in the unit. Each box represents one cargo of the product. Each cargo can store a number of units of the product. The number of units a cargo can hold varies from product to product. For some expensive products, such as cars, one cargo can hold only a few units of the product. For lower-cost products, such as shampoo, one cargo can hold up to several thousand units of the product. This makes the total value of all cargoes of all types of products about the same.|
This area shows the stock of the raw material in the unit. Each box represents one cargo of the raw material. Each cargo can store a certain quantity of the raw material.|
This bar represents what the unit spends advertising the product monthly.|
This brown bar shows the utilization of the unit. If this bar reaches its full length, the unit has reached its full capacity. It can manufacture no more goods even if there is additional supply and demand. On the other hand, if this bar is short, this indicates that its facilities and resources are not being used effectively. This might contribute to the firm's low profitability.|
This City|
This commercial building is for sale at|
This is a Beta version. Unauthorized distribution of this Beta is strictly prohibited.|
This Item can be sold in ...|
This mansion is for sale at|
This mansion is for sale at:|
This multiplayer saved game can only support %2d human %2p{playerplayers} while now there are %1d human players. The game cannot start.|
This multiplayer saved game needs %2d human players while now there %1p{isare} only %1d human %1p{playerplayers}. The game cannot start.|
This Product is for Internal Sale only|
This saved game will be deleted. Proceed ?|
Threat|
Tight|
Timber|
TIMBER|
Tissues|
TISSUES|
to|
to build the|
to manage all of your firms|
TOBACCO|
Tobacco Products|Tabac
TOBACCO PRODUCTS|
Toilet cleaner|
TOILET CLEANER|
Toothpaste|
TOOTHPASTE|
Top Tech.|
Total|
total|
Total Assets|
Total cost|
Total Dividend Paid|
Total Earnings|
Total Loan|
Total Loans|
Total No. of Employees|Total des employés
Total No. of Employees in Your Corporation|
Total no. of frontline employees|
Total no. of Shares|
Total Profit|Profit total
Total Return|
Total Revenue|Revenu total
Total Score:|
Total Score: -1 (You have enabled the cheated mode.)|
Total Wealth|
Toy|Jouet
Toy Doll|
Toy Racing Car|
Toy Store|
Trade|
Training|
Training and New Equipment|
Training Level|
Transparent|
Turkey|
Turkeys|
TV Broadcast|
TV Station|Station de TV
UNDEFINED|
Unemployment Rate|
Unexplored|
Unique Band|
Unique Brand|
unit|
Unit|
Unit Level|
Units|
units|
University|Université
Upgrade Production Technology|
Use|
Utilization|
Utilization Bar|
Value|
Value of Companies Controlled by You|
values|
Values 1|Valeurs 1
Values 2|Valeurs 2
Version %1s|
Very Aggressive|
Very Great|
Very High|Très Haut
Very Low|Très Bas
Video Game Console|
VIDEO GAME CONSOLE|
View Hot Keys|
View Supplier|
Waiting for %1s %2s|
Waiting for Sowing Season|
Waiting response from host...|
Warehouse|
Warehouse Input|
Warehouse Input Unit|
Warehouse Output|
Warehouse Output Unit|
Warehouse Storage|
Warehouse Storage Unit|
Warm|
Warm, Cool or Cold|
Warning: This will delete all information in your multiplayer lobby account that is linked to this player profile.|
Washing Machine|
WASHING MACHINE|
Washing Powder|
WASHING POWDER|
Watch|Montres
WATCH|
Wealth|
Wealth:|
Web Site|
Welcome to Seven Kingdoms II. You must register your name first.|
What is your offer ? \n|
Wheat|
WHEAT|
Wheat Germ Oil|
WHEAT GERM OIL|
Wheel & Tire|
WHEEL & TIRE|
When crops are harvested, they are stored in barns. Crops in barns are represented by boxes in the unit info-box. Each box represents a certain quantity of crops. You can see more boxes appear when crops are being harvested and disappear when crops are being sold.|
When you switch your brand strategy, all products will be labeled with the new brand and their brand ratings will be reset to zero as a result. Proceed?|
Which corporation do you want to acquire technology from:|
Who             Cash|
Who manages this firm?|
Wine|
WINE|
With Market Share|
Wool|
WOOL|
World Map|
Write-offs|
Wrong Firm|
Wrong game code.|
x|
x 2 (Goal Bonus)|
x 2 (Goal Bonus) =|
x 20|
x 20 =|
x 5|
x 5 =|
year|
Year|
Year-to-date|
year)|
Years|
years|
Years of service|
Years of Service|
years)|
Yes|Oui
Yes All|
Yogurt|
YOGURT|
You are about to start a training game. It should help you to get the most fun out of Seven Kingdoms II.|
You bought this Apartment at|
You bought this mansion at:|
You cannot acquire new technology now. None of the other companies have a technology more advanced than yours.|
You cannot join the game because the host does not accept your game version|
You cannot join the game because the saved game is different from the host|
You cannot join the game because the session is full|
You cannot use a corporation that you control to buy a stock|
You do not have enough cash.|
You have|
You haven't saved any games yet.|Vous n'avez sauvegardé aucune partie.
You offered|
You will be victorious when you have:|
Your|
Your Advantage|
Your Brand Strategy|
Your company does not have enough cash.|
Your corporation cannot buy a stock in which you have ownership.|
Your Firm cannot process this type of Product|
Your king is now immortal.|
Your Name|Votre Nom
Your Ownership of Your Corporation|
Your Personal Wealth|
YOUR PORTRAIT|
Your Start-up Capital|Capital de départ
Your technology has advanced.|
Your Treasure|
Yours|
YTD|
YTD Changes|
YTD Trade|
